cenario_id,geracao_fv_kw,irradiancia_w_m2,carga_kw,no_rede,fator_potencia,tensao_inicial_pu,tensao_resultado_pu,classificacao_risco,origem_resultado
271,500.0,1000.0,1250.0,675,1.0,1.0491767244385408,1.0516121646867285,ATENÇÃO,OPENDSS
272,500.0,1000.0,1500.0,675,1.0,1.04793400185747,1.0504150006306834,ATENÇÃO,OPENDSS
273,500.0,1000.0,1750.0,675,1.0,1.0467656419480598,1.0491979263352724,BAIXO,OPENDSS
274,500.0,1000.0,2000.0,675,1.0,1.0448693989505173,1.047413388898622,BAIXO,OPENDSS
275,1000.0,600.0,0.0,675,1.0,1.0426313134570546,1.0456480018330945,BAIXO,OPENDSS
276,1000.0,600.0,250.0,675,1.0,1.0481216271804614,1.0510311790438,ATENÇÃO,OPENDSS
277,1000.0,600.0,500.0,675,1.0,1.0465566010760377,1.0496070135569098,BAIXO,OPENDSS
278,1000.0,600.0,750.0,675,1.0,1.0452702884617993,1.0483488871743527,BAIXO,OPENDSS
279,1000.0,600.0,1000.0,675,1.0,1.0439870094004733,1.0470712630984205,BAIXO,OPENDSS
280,1000.0,600.0,1250.0,675,1.0,1.0491767244385408,1.052090311238295,ATENÇÃO,OPENDSS
281,1000.0,600.0,1500.0,675,1.0,1.04793400185747,1.0508878058879905,ATENÇÃO,OPENDSS
282,1000.0,600.0,1750.0,675,1.0,1.0467656419480598,1.0496993090315707,BAIXO,OPENDSS
283,1000.0,600.0,2000.0,675,1.0,1.0448693989505173,1.0479447917952778,BAIXO,OPENDSS
284,1000.0,700.0,0.0,675,1.0,1.0426313134570546,1.0461420543002964,BAIXO,OPENDSS
285,1000.0,700.0,250.0,675,1.0,1.0481216271804614,1.0515028324299103,ATENÇÃO,OPENDSS
286,1000.0,700.0,500.0,675,1.0,1.0465566010760377,1.0500973153804518,ATENÇÃO,OPENDSS
287,1000.0,700.0,750.0,675,1.0,1.0452702884617993,1.0488578195062508,BAIXO,OPENDSS
288,1000.0,700.0,1000.0,675,1.0,1.0439870094004733,1.047583870675107,BAIXO,OPENDSS
